iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
GBR,Europe,United Kingdom,2021-04-01,4364547,127006,64292.295,1870.872,125225481,1844.644,36277136,31318262,4958874,53.44,46.13,7.3,67886004,40.8,39753.244,0.932,77,Moderna - mRNA-1273
GBR,Europe,United Kingdom,2021-04-01,4364547,127006,64292.295,1870.872,125225481,1844.644,36277136,31318262,4958874,53.44,46.13,7.3,67886004,40.8,39753.244,0.932,77,Pfizer BioNTech - Comirnaty
USA,North America,United States,2021-04-01,30541255,553468,92268.915,1672.095,383606430,1158.923,153631404,99565311,56089614,45.94,29.77,16.77,331002647,38.3,54225.446,0.926,67,Janssen - Ad26.COV 2.5
USA,North America,United States,2021-04-01,30541255,553468,92268.915,1672.095,383606430,1158.923,153631404,99565311,56089614,45.94,29.77,16.77,331002647,38.3,54225.446,0.926,67,Moderna - mRNA-1273
USA,North America,United States,2021-04-01,30541255,553468,92268.915,1672.095,383606430,1158.923,153631404,99565311,56089614,45.94,29.77,16.77,331002647,38.3,54225.446,0.926,67,Pfizer BioNTech - Comirnaty
URY,South America,Uruguay,2021-04-01,108188,1009,31144.647,290.466,1387452,399.413,722720,663677,59043,20.81,19.11,1.7,3473727,35.6,20551.409,0.817,71,AstraZeneca - AZD1222
URY,South America,Uruguay,2021-04-01,108188,1009,31144.647,290.466,1387452,399.413,722720,663677,59043,20.81,19.11,1.7,3473727,35.6,20551.409,0.817,71,Pfizer BioNTech - Comirnaty
URY,South America,Uruguay,2021-04-01,108188,1009,31144.647,290.466,1387452,399.413,722720,663677,59043,20.81,19.11,1.7,3473727,35.6,20551.409,0.817,71,Sinovac - CoronaVac
UZB,Asia,Uzbekistan,2021-04-01,83050,630,2481.386,18.823,0,0,0,0,0,0,0,0,33469199,28.2,6253.104,0.72,26,AstraZeneca - AZD1222
VUT,Oceania,Vanuatu,2021-04-01,3,0,9.767,0,0,0,0,0,0,0,0,0,307150,23.1,2921.909,0.609,43,NA
VEN,South America,Venezuela,2021-04-01,161751,1615,5688.259,56.794,0,0,0,0,0,0,0,0,28435943,29,16745.022,0.711,15,Beijing CNBG - Inactivated
VEN,South America,Venezuela,2021-04-01,161751,1615,5688.259,56.794,0,0,0,0,0,0,0,0,28435943,29,16745.022,0.711,15,Gamaleya - Sputnik V
VEN,South America,Venezuela,2021-04-01,161751,1615,5688.259,56.794,0,0,0,0,0,0,0,0,28435943,29,16745.022,0.711,15,Wuhan CNBG - Inactivated
VNM,Asia,Vietnam,2021-04-01,2617,35,26.886,0.36,0,0,51216,51216,0,0.05,0.05,0,97338583,32.6,6171.884,0.704,36,AstraZeneca - AZD1222
VNM,Asia,Vietnam,2021-04-01,2617,35,26.886,0.36,0,0,51216,51216,0,0.05,0.05,0,97338583,32.6,6171.884,0.704,36,Gamaleya - Sputnik V
YEM,Asia,Yemen,2021-04-01,4531,906,151.915,30.376,0,0,0,0,0,0,0,0,29825968,20.3,1479.147,0.47,15,SII - Covishield
ZMB,Africa,Zambia,2021-04-01,88549,1212,4816.646,65.927,1257477,68.401,0,0,0,0,0,0,18383956,17.7,3689.251,0.584,33,SII - Covishield
ZWE,Africa,Zimbabwe,2021-04-01,36896,1523,2482.418,102.47,439630,29.579,105307,87791,17516,0.71,0.59,0.12,14862927,19.6,1899.775,0.571,24,Beijing CNBG - Inactivated
ZWE,Africa,Zimbabwe,2021-04-01,36896,1523,2482.418,102.47,439630,29.579,105307,87791,17516,0.71,0.59,0.12,14862927,19.6,1899.775,0.571,24,Bharat - Covaxin
ZWE,Africa,Zimbabwe,2021-04-01,36896,1523,2482.418,102.47,439630,29.579,105307,87791,17516,0.71,0.59,0.12,14862927,19.6,1899.775,0.571,24,Sinovac - CoronaVac
